# AUTO-GENERATED by scripts/velocity-export.js — do not edit directly. Source: ~/.lccjs/velocity.db
id,ticket,title,role,h_min,c_min,actual_min,delta_h_min,delta_c_min,started_iso,finished_iso,closed_commit,notes,agent,model,repo
74,205,pre-push hook: gate in-progress rebase/merge + conflict markers (#188 mode #2),DEV,30,30,18,12,12,2026-05-29T18:23:07-10:00,2026-05-29T18:26:13-10:00,,"Child of #188 (failure mode #2). Added a gem-free gate to scripts/git-hooks/pre-push, ahead of the pdd scan: exits 1 if a rebase (rebase-merge/rebase-apply) or merge (MERGE_HEAD) is in progress, or any tracked file has a column-0 conflict marker (caret-<<<<<<< / caret->>>>>>>). Column-0 anchor avoids false-tripping on prose that discusses markers (claude_workflow.md). Verified with 3 cases: planted markers block, simulated rebase-merge dir blocks, clean tree passes. #188 stays OPEN: remaining scope is the #4 branch-protection DECISION (user-owned) + optional #6 marker cross-visibility. Single-commit close per #186; closed_commit empty. Worktree banana.",BANANA,,lccjs
75,206,Data: re-run day-02 velocity notebook on the grown CSV + re-read calibration findings,DATA,30,12,7.5,22.5,4.5,2026-05-29T18:26:57-10:00,2026-05-29T18:34:26-10:00,,"Re-ran stats/day-two-analysis.ipynb (datasci venv, headless nbconvert) on the now-74-row CSV (63-row calibration set vs 54 at the #191 run). FINDINGS vs #191: (1) over-pad bias HOLDS+strengthens - 60/63=95%% over-padded, sign-test p=4.5e-15, median C-ratio 3.00x [2.40,3.75], naive correction ~0.33x. (2) Per-role now has 3 evaluable roles (n>=5): DEV 2.59x (n=20), WRITER 2.40x (n=21), TEST 7.50x (n=10); TEST is the clear outlier - DEV-TEST p=0.001, TEST-WRITER p=0.004, DEV-WRITER p=0.639 (indistinguishable), sharper than #191. (3) Over-time trend raw Spearman rho=+0.299 p=0.017 BUT within-WRITER rho=+0.076 p=0.743 -> STILL a task-MIX confound, not real drift; day1-vs-later 95%% CI [-0.08,+0.70] spans 0. (4) NEW data-hygiene finding: the notebook 3-distinct-close-days is a UTC-midnight artifact - in HST (project tz) there are only 2 working days; the entire UTC-05-30 bucket (n=11) is the 05-29 HST evening session. (5) LOC-null holds (r~0.02); lead-time bimodal holds. Notebook prose still says day-two (stale vs recomputed outputs); a day-three notebook is the #191-style follow-up if wanted. Graduated RESEARCH follow-up #208 for a human (de-confound drift: HST bucketing + per-role correction). DATA H30/C12 actual 7.5m. Worktree dragonfruit/issue-206; closed_commit empty per #186.",DRAGONFRUIT,,lccjs
76,209,Docs: plain step-by-step doc of the real puzzle lifecycle (issue <-> @todo <-> done),WRITER,30,15,2.4,27.6,12.6,2026-05-29T18:52:12-10:00,2026-05-29T18:54:35-10:00,,"New doc docs/puzzle-lifecycle.md answering the two real questions: how a puzzle becomes a GH issue here (issue-first, NOT 0pdd which is broken since Feb-2024) and how the @todo marker signals done (three states @todo->@inprogress->deleted; done = marker gone + Closes #N, no @done artifact). Plain/no-fluff per request: short-version bullets, Part 1 issue->marker, Part 2 three-state table, Part 3 resolution steps, canonical-vs-here contrast table, commands. Dogfooded the lifecycle to write it: filed #209 first, claimed worktree, placed @inprogress #209 in claude_workflow.md protocol-list, resolved by replacing the marker with a real link to the new doc. Linked from claude_workflow.md. actual 2.4m undersells effort - ground-truth research (pdd-adoption TIL, pre-push hook, puzzle-status internals) was front-loaded earlier in the session before the clock started. Single-commit close per #186; closed_commit empty. Worktree apple.",APPLE,,lccjs
77,210,Data: switch §1 day-bucketing UTC→HST in day-02 velocity notebook (decomposes #208),DATA,30,15,7.25,22.75,7.75,2026-05-29T18:55:55-10:00,2026-05-29T19:03:10-10:00,,"DATA decomposition of #208 (research parent stays open for the per-role correction-constant + within-role power questions). Switched §1 day-bucketing UTC->HST (Pacific/Honolulu, UTC-10) in stats/day-two-analysis.ipynb cell 5; updated §0 provenance (cell 3, now prints HST day-count + a UTC-for-reference line) + cell-6 Read + §8 takeaways; re-ran headless (datasci venv, nbconvert --execute). RESULT: the spurious 3rd UTC day collapses to 2 clean HST days (05-28 n=34, 05-29 n=29). SURPRISE vs #208's expectation: merging the spurious day did NOT dissolve the raw trend - it SHARPENED the day-level split (day1-vs-rest +0.34 CI[-0.08,+0.70] 'no clear change' under UTC -> +0.73 CI[+0.23,+1.15] 'worsening' under HST), because HST-day-2 absorbs the most-over-padded 5.0x cluster. BUT the de-confound is intact and tz-INVARIANT: continuous Spearman unchanged (rho=+0.299 p=0.017), within-WRITER still flat (rho=+0.076 p=0.743) - the day-level worsening is pure role-mix (HST-day-2 = TEST/SPIKE/RESEARCH heavy). Net finding: only the within-role check neutralises the trend, not the calendar. Out of scope (stays in #208): TEST ~7.5x correction constant, within-role power, docs/puzzle-velocity.md takeaways update. DATA H30/C15 actual 7.25m. Worktree dragonfruit/issue-210; closed_commit empty per #186.",DRAGONFRUIT,,lccjs
78,211,Docs: reconcile 6 stale/wrong doc spots from 2026-05-30 audit (A-F),COMBO,45,18,5.2,39.8,12.8,2026-05-30T07:05:54-10:00,2026-05-30T07:11:04-10:00,,"COMBO doc-reconciliation (refactor + writing + PM tidying) from the 2026-05-30 3-agent staleness audit; six fixes in one unit. (A) claude_workflow.md close-step worktree-removal example used the legacy flat .claude/worktrees/issue-N path + worktree-issue-N branch -> updated to the fruit form. (B) worktree-multi-agent-findings.md listed push-gating as a #188 candidate though it shipped (#205) -> moved to a new Shipped section, removed the dup candidate bullet, annotated failure-mode-2. (C) current_issues.md showed the LCC.js mov validation bug as an open action item though OB-001/#31 is fixed (d39fe90) -> marked DONE in table+finding+actions, kept the cuh63-upstream half (#40) live. (D) puzzle-lifecycle.md enforcement row now notes the pre-push hook also gates rebase/merge/conflict-markers (#205). (E) open_bugs.md header cited the long-merged improve-docs-branch -> now plain main-relative. (F) deleted the redundant 7-line docs/onboarding_strategy.md (fully realized by onboarding.md) + cleared the current_issues.md expand-or-delete flag; left the frozen docs/init_code_review.md untouched (its 2 links are historical, and the review itself recommended delete). Commented boundaries on #188/#27/#170. Did NOT touch #170 status lines or #195/#194 design wording (out of A-F scope). Single-commit close per #186; closed_commit empty. Worktree apple.",APPLE,,lccjs
79,214,Docs: scrub init_code_review.md refs to deleted onboarding_strategy.md + frozen-snapshot banner,WRITER,25,8,2.5,22.5,5.5,2026-05-30T07:17:44-10:00,2026-05-30T07:20:13-10:00,,"Follow-up to #211. The frozen May-2026 review docs/init_code_review.md still referenced docs/onboarding_strategy.md (lines 37, 99), which #211 deleted. Annotated both inline as Resolved 2026-05-30 (#211): deleted - preserved the historical finding text (appended a note to one, struck the other) rather than rewriting the snapshot. Strengthened the soft line-5 'will grow stale' note into a proper Frozen-snapshot banner pointing to current_issues.md / open_bugs.md / TODOS.md for live state. No other historical findings touched (they stay the May-2026 baseline). Single-commit close per #186; closed_commit empty. Worktree apple.",APPLE,,lccjs
80,212,Let the human direct the agent's claim identity (CLAUDE_AGENT_NAME),DEV,45,30,6.07,38.93,23.93,2026-05-30T07:25:52-10:00,2026-05-30T07:31:56-10:00,,"DEV feature: human-directed claim identity via CLAUDE_AGENT_NAME env var (chosen over a sentinel file for statelessness/no STALE-file failure mode). scripts/claim.js resolves identity --as > CLAUDE_AGENT_NAME > auto through a new pure resolveIdentity()/normalizeIdentity() seam (exported, covered by 9 unit tests in tests/new/claim.unit.spec.js). Env value is a forced identity: single candidate, lowercased, branch-collision is a hard error, auto-only detect-and-rollback skipped - so a bare claim never silently auto-picks a different fruit (the #210 dragonfruit->apple bug). Verified all 4 precedence paths via --dry-run; full primary suite green (647 pass, 17 skip). Docs: claim.js header + design-agent-worktree-identity.md (new section + algorithm pseudocode) + claude_workflow.md; design rationale posted as a #212 comment. Deliberately NOT a .env.example key (claim.js has no dotenv; it is a plain shell export). Single-commit close per #186; closed_commit empty. Worktree banana. FINDING (out of scope, untouched): the CSV tail has a duplicate #210 row.",BANANA,,lccjs
81,215,PM: cross-link agent-identity cluster (#188/#194/#195/#212) so each reaches its siblings,PM,20,,5.6,14.4,,2026-05-30T07:23:00-10:00,2026-05-30T07:28:36-10:00,,"PM cross-link pass over the agent-identity cluster: 4 signed comments wiring #194<->#212 (reciprocal), #195 (docs) and umbrella #188 so each issue thread reaches its siblings (web was incomplete: #194 had no back-link to #212; #188 named none of its identity sub-tickets). No repo files changed -> no worktree needed for the work, but PM is a logged role and every row keys to a ticket, so #215 filed retroactively (cf #204). started_iso RECONSTRUCTED (~07:23): protocol was wrongly skipped at the time on the mistaken 'no file change = no logging' belief, so no live start was captured; finished_iso is exact (the 4 comment timestamps 07:28:3x). c_min left EMPTY on purpose - a clean before-work forecast is impossible retroactively; h_min=20 is the discipline budget. See paired RESEARCH #216. closed_commit empty per #186. Worktree cherry-issue-216 (shared close); agent CHERRY (terminal name, --as cherry pinned to dodge auto-fruit).",CHERRY,,lccjs
82,216,Research: is there a 'no file change = no velocity logging' rule? (correct the skip criteria),RESEARCH,30,12,8.1,21.9,3.9,2026-05-30T07:31:49-10:00,2026-05-30T07:39:53-10:00,,"Empirical check: is there a 'no code/text change = no velocity logging' rule? FINDING: NO. (1) puzzle-velocity skill 'Skip when' lists only two skips - no velocity files+not-asked, or a sub-minute clarification turn - both value/duration, not diff-based. (2) role table defines PM and RESEARCH as no-code-shipping roles. (3) CSV already has ~10 no-code rows (PM #143/#204, RESEARCH #203, SPIKE #193/#166). Root cause of the original mistake: conflating 'no repo files changed -> no worktree needed' (true) with 'no CSV row' (false); logging tracks work/time not diffs. Deliverable: feedback memory no-code-work-still-logged + a 'What gets logged' note in this doc's Protocol section. This very row demonstrates the finding. C=12 set this turn before writing the deliverable+logging; actual 8.1m (investigation partly front-loaded before the clock, so actual undersells think time). closed_commit empty per #186; worktree cherry-issue-216; agent CHERRY.",CHERRY,,lccjs
83,217,Velocity CSV: dedup #210 row + strip residual CRLF + LF-only guard,COMBO,40,15,3.73,36.27,11.27,2026-05-30T07:41:09-10:00,2026-05-30T07:44:53-10:00,,"COMBO data-integrity + recurrence guard. Removed the duplicate #210 row from puzzle-velocity.csv (84->83 rows; verified the net CR-normalised multiset change is exactly one 210 row removed, nothing else changed) and stripped the residual CRLF on the surviving #210 row that the earlier fix d2ff450 missed. Root cause: the #210 close appended via Python csv.writer (default lineterminator CRLF); d2ff450 then appended a verbatim copy instead of editing in place AND left the CR. Prevention: LF-only-append mandate in docs/puzzle-velocity.md + regression test tests/new/puzzle-velocity-csv.unit.spec.js (asserts no CR bytes, no byte-identical duplicate rows). Full suite green (649 pass). Key insight: under merge=union a CRLF-vs-LF pair of the same row never dedups, so the dedup had to be paired with the CR-source fix or it recurs. The #210 work itself (DRAGONFRUIT, 032243e) was correct; the dup came from the later housekeeping commit, not that close. Single-commit close per #186; closed_commit empty. Worktree banana.",BANANA,,lccjs
84,222,PM: file SPIKE #222 (WIP-lock: auto-block dependent issues while a ticket is in progress),PM,,,2.8,,,2026-05-30T07:53:35-10:00,2026-05-30T07:56:21-10:00,,"Filing/scoping only - the spike investigation itself is NOT done (whoever claims #222 logs a separate row for that work). Design review with requester settled 3 forks before filing: (1) lock rides the issue/label layer (a distinct wip-locked label), NOT a new @unavailable source marker - zero marker-grammar/regex/pdd/doc churn, no cross-file flip races; (2) blast radius declared explicitly at claim time via npm run claim N --locks a,b (no derived dependency graph); (3) filed as 45m/SPIKE per spike->architect->puzzle pipeline, not a single DEV puzzle. Issue created with scope+enhancement labels; body carries decided-approach + 5 spike questions (label name/distinctness, record-of-why, claim.js apply path, close-step release, stale-lock reconciler via puzzle-status --strict). H/C left empty per PM-row precedent (#204). actual 2.8m covers filing mechanics only; design/exploration front-loaded in plan mode. Detour: first claim mis-parsed --as (npm needs --) and auto-assigned apple while apple+pm-221 was live; removed that worktree+branch and re-claimed as dragonfruit. Also spotted a pre-existing duplicate #210 row (CSV lines 78 and 80) - left for separate cleanup. closed_commit empty per #186. Worktree dragonfruit/issue-222.",DRAGONFRUIT,,lccjs
85,221,PM: backlog grooming — capture untracked TODOS.md work as 3 trackers (#218/#219/#220),PM,,,17.65,,,2026-05-30T07:33:00-10:00,2026-05-30T07:50:39-10:00,,"PM/backlog-curation unit logged as one row (cf #204/#215). Deliverables: filed 3 trackers capturing work that lived only in TODOS.md with no issue - #218 (oracle-parity backlog: .org / 300-char line-length / bp residual / sext-impl gated on #159), #219 (reconcile stale TODOS.md checklist vs closed issues - flag-wiring -m/-r/-x/-t done via #74/#75/#76/#77, debugger phases via #102/#103/#164), #220 (core-behavior + test-coverage backlog). All follow the #144 convention: the tracker carries no @todo marker; children get marker+estimate at grab time. Triggered by user request to capture all work-output (research + doc revisions) as Yegor-PM tasks. Process: confirmed the 'add estimates' ask was already satisfied (every pdd-tracked puzzle has an estimate; #173 included - the earlier ~ was a grep blind-spot on repo-root .sh files), and the ~20 non-pdd low-sev issues stay estimate-on-grab per protocol (user-confirmed). No source changes - tracker creation only. started_iso RECONSTRUCTED (~07:33): t0 not captured at true start of the grooming arc (recurring F1); finished_iso exact; h/c left EMPTY - no clean before-work forecast is reconstructable for an ad-hoc PM unit (cf #204). Branched fresh from origin/main which had advanced to #217 (CHERRY/BANANA concurrent) - the worktree avoided appending onto stale local main d2ff450. closed_commit empty per #186. Worktree apple/pm-221; agent APPLE.",APPLE,,lccjs
86,213,Data: re-run enrich.py + day-02 notebook on latest (dedup'd) CSV,DATA,30,12,4.93,25.07,7.07,2026-05-30T07:57:36-10:00,2026-05-30T08:02:32-10:00,,"DATA re-run feeding #208 (same shape as closed #206). Re-ran stats/enrich.py (74->85 enriched rows, 31 cols) + executed stats/day-two-analysis.ipynb headless on the current dedup'd docs/puzzle-velocity.csv; cut is 85 rows / 71-calibration (was 74/63 at the #210 HST verification) and does NOT double-count #210 (dup removed under #217). Material shifts posted to #208: (1) a 3rd genuine HST day graduated (05-30 n=5; 3 evaluable days now); (2) continuous over-time trend WEAKENED + lost significance (Spearman rho +0.299 p0.017 -> +0.215 p0.072, n=71); (3) de-confound HOLDS - within-WRITER still flat (rho +0.198 p0.364), so day-level worsening is role-mix not drift; (4) per-role now has teeth - DEV/TEST/WRITER all evaluable, Mann-Whitney distinguishes TEST (7.5x) from DEV (2.76x, p0.002) and WRITER (3.0x, p0.004), so TEST warrants its own correction constant. Robust unchanged: over-pad 96% (p2.5e-17), LOC null, median C-ratio 3.20x. FINDING: notebook section-8 takeaways prose is stale (hardcodes 'two HST days' + 'stays true either way', falsified by the 3rd day) - flagged to #208 for the takeaways write-up, NOT fixed here (out of mechanical-rerun scope, per the #206 precedent). Single-commit close per #186; closed_commit empty. Worktree banana.",BANANA,,lccjs
87,223,Research: reconcile --as vs CLAUDE_AGENT_NAME — guide agents to the right identity practice,RESEARCH,45,15,3.9,41.1,11.1,2026-05-30T07:59:24-10:00,2026-05-30T08:03:19-10:00,,"Audited every place agent-identity is described (design-agent-worktree-identity.md, claim.js header, claude_workflow.md l.98-99, memories terminal-agent-name-vs-fruit + parallel-worktree-workflow, puzzle-velocity skill). Deliverable docs/research/agent-identity-guidance-reconciliation.md. HEADLINE FINDING found by dogfooding #212: CLAUDE_AGENT_NAME is SILENTLY INERT on a stale local main - claim.js lives on main, so an agent whose local main predates #212 runs the old auto-only script and gets auto-fruit despite the env var. Reproduced live: 'CLAUDE_AGENT_NAME=cherry npm run claim -- 223' returned 'apple (auto)' (local main d2ff450, 0 hits of CLAUDE_AGENT_NAME; origin 5b9c447, 7); after git pull --ff-only the same cmd gave 'cherry'. Compounds into mis-ID + #194 collision risk + stale base tree. No doc/memory currently says 'sync main before claiming'. Other findings: F2 identity guidance is restated in 6 places and #212 updated only 3 - parallel-worktree-workflow memory + velocity 'fruit name' wording are stale/misaligned; F3 'branch namespace is source of truth' still wrong in claim.js header l.38-39 + design doc l.36/70-74 (takenFruits is worktree-scoped; the open #195/#194 inaccuracy). 6 prioritized recs R1-R6 w/ per-location edits + 3 suggested follow-ups (DOCS reconcile/de-stale, DEV claim.js stale-main guard, SKILL velocity wording). Reconciled practice: env var > --as > auto, all inert unless on current main. C=15 set before work; actual 3.9m undersells - some identity-doc reading was front-loaded earlier this session. closed_commit empty per #186; worktree cherry-issue-223; agent CHERRY.",CHERRY,,lccjs
88,226,Research: root-cause the pre-push pdd gate false-fail in worktrees → #224,RESEARCH,,,7.9,,,2026-05-30T08:00:00-10:00,2026-05-30T08:07:54-10:00,,"RESEARCH spike, reactive - triggered by the pre-push pdd gate false-failing while pushing PM #221's docs-only CSV row from a worktree. QUESTION: why does `npm run puzzles` fail on current_issues.md:9 from a .claude/worktrees/ path but pass on a clean checkout for a no-puzzle change? FINDING (root cause): pdd-0.24.2 compiles .pddignore excludes to regexps from the ABSOLUTE source path (Sources#fetch, sources.rb:23-28) and Glob#to_regexp (utils/glob.rb) emits literal path chars UNESCAPED (else-branch) - so the '+' that EnterWorktree puts in worktree dir names (<fruit>+<slug>) becomes a regex quantifier, silently no-opping ALL excludes -> pdd scans every markdown file -> trips on the literal TODO in the TODOS.md link at current_issues.md:9. Proven empirically (with + -> excludes match=false; without + -> true) and behaviorally (PASS from main checkout, FAIL from apple+pm-221). DELIVERABLE: filed #224 (bug, severity:medium) with repro + 3 fix paths (naming constraint / run-pdd.sh robustness / upstream Regexp.escape); cross-linked #205/#188/#194/#195 bidirectionally with per-issue context. DOGFOOD: this row was pushed from a worktree named WITHOUT a slash (apple-research-226, no + on disk), validating #224 fix #1 - npm run puzzles PASSED and the push needed NO --no-verify (contrast PM #221, which had to bypass from apple+pm-221). started_iso RECONSTRUCTED (~08:00, t0 not captured at the filing-turn start - recurring F1); finished_iso EXACT = 08:07:54, the GitHub timestamp of my last cross-link comment (#194), the final deliverable action - symptom-level diagnosis was front-loaded earlier in PM #221. h/c left EMPTY: reactive spike, no clean before-work forecast was captured. closed_commit empty per #186. Worktree apple-research-226; agent APPLE.",APPLE,,lccjs
89,227,PM: file DEV puzzle #227 (claim.js guard: warn/abort when claiming an already-CLOSED issue),PM,,,0.8,,,2026-05-30T08:14:09-10:00,2026-05-30T08:14:55-10:00,,"Filing only - the DEV fix itself is NOT done (whoever claims #227 logs a separate row). Direct outcome of the #223 collision this session: DRAGONFRUIT claimed #223 seconds after CHERRY closed it because claim.js does not check issue state. Filed #227 (enhancement+pdd-tracked+severity:low) and placed the at_todo #227:20m/DEV marker at scripts/claim.js main() above the slug-derivation gh call (the fix extends that same call to --json title,state and aborts on CLOSED unless --force). Also saved memory verify-issue-open-before-claiming. H/C empty per PM-filing precedent (#204/#222). Single commit, no Closes (puzzle stays open). closed_commit empty per #186. Worktree dragonfruit/issue-227.",DRAGONFRUIT,,lccjs
90,196,Test: first coverage for src/extra/disassembler.js (export seam + decode units + OB-002 pin + CLI smoke),TEST,45,20,3.95,41.05,16.05,2026-05-30T08:11:54-10:00,2026-05-30T08:15:51-10:00,,"TEST/QA child of #166 — first coverage for src/extra/disassembler.js (915 LOC, was 0%). Added a one-line export seam (module.exports = Disassembler; the class was CLI-only) + tests/new/disassembler.unit.spec.js (9 tests). Pure decode-method units (signExtend 9-bit boundary; disassembleADD reg + imm5; disassembleLDR) + the OB-002 regression pinning disassembler.js:427 (mvi imm9 mask must be & 0x1FF not & 0xFF: word 0x100 -> 'r0, -256', the old 8-bit mask would give 'r0, 0') + a CLI subprocess smoke on tests/goldens/interpreter/demoB.e (exit 0 + expected mnemonics = round-trip read of real assembler output). Chose the export-seam+unit approach (ticket option 2) because the decode methods are pure (word->text) so OB-002 gets a precise fast pin; kept a subprocess smoke too for whole-pipeline crash coverage. Full suite green (658 pass). No marker churn (closed same-session). Single-commit close per #186; closed_commit empty. Worktree banana.",BANANA,,lccjs
91,231,PM: file #223 identity-reconciliation follow-ups (R1/R4/R5) + scope #195 (R3),PM,,12,4.2,,7.8,2026-05-30T08:14:42-10:00,2026-05-30T08:18:55-10:00,,"PM filing cycle for the #223 research recs, strict PDD/yegor-bdd. Filed 3 BDD-shaped puzzles each with an @todo marker: #228 (DEV, claim.js stale-main guard — marker scripts/claim.js, live repro from #223), #229 (WRITER, velocity agent-column wording — marker TODOS.md), #230 (WRITER, one canonical identity source — marker TODOS.md). R3 NOT filed as a duplicate: it IS existing complaint #195 — commented #195 to refresh post-#212 line refs (claim.js l.38-39, design doc l.36+l.70-74) + sharpened its TODOS marker. R2+R6 already applied to memory during #223. Row keyed to retroactive PM tracker #231 (filed+closed this cycle, #204 precedent) so the no-code PM work is logged. pdd-tracked labels added; pdd scan parses clean. Ad-hoc PM: no H cap; C=12 set before the cycle (start 08:14:42 captured before filing), actual 4.2m. Dogfooded #212: claimed via CLAUDE_AGENT_NAME=cherry after git pull --ff-only and got 'cherry human-directed (env)', validating the very stale-main finding #228 tracks. closed_commit empty per #186; worktree cherry-issue-231; agent CHERRY.",CHERRY,,lccjs
92,201,Docs: rewrite stale pre-#186 two-commit close-sequence in claude_workflow.md to single-commit,WRITER,30,6,2.13,27.87,3.87,2026-05-30T08:17:55-10:00,2026-05-30T08:20:03-10:00,,"WRITER fix: claude_workflow.md prescribed a stale TWO-commit close (commit 1 Closes #N; capture post-rebase SHA into closed_commit; a 2nd docs(velocity) commit) contradicting puzzle-velocity.md's #186 single-commit protocol. Three edits: (1) the at-close ASCII box 'two-commit close'->'one-commit close' (identical width, zero realign); (2) rewrote the close-sequence bash+prose to single-commit - one commit carries marker-deletion + CSV row + Closes #N, closed_commit left EMPTY, derive via git log --grep, no --amend; cross-ref #186; (3) the 'What I track in the CSV' closed_commit row from 'captured after pull --rebase' to 'left empty; derive on demand'. Left l.188 agent='fruit identity' wording untouched (identity-doc cluster #195/#223/#231, out of #201 scope). Removed the at_todo #201 marker on close. Verified marker gone, 0 conflict markers, only residual 'two-commit' is the intentional past-tense note at l.150. H30/C6. Dogfooded the very #186 single-commit close this ticket documents. Worktree dragonfruit/issue-201.",DRAGONFRUIT,,lccjs
93,197,Test: first coverage for src/plus/assemblerplus.js (.ep smoke + .lccplus gate + OB-009 single-error pin),TEST,30,15,8.87,21.13,6.13,2026-05-30T08:17:15-10:00,2026-05-30T08:26:07-10:00,,"TEST/QA child of #166 — first coverage for src/plus/assemblerplus.js (187 LOC, was 0%; already exported, no source change). tests/new/assemblerplus.unit.spec.js (5 tests): happy-path smoke (valid .lccplus+rand+halt .ap -> .ep via main(), no throw), the .lccplus directive gate (missing -> 'Missing .lccplus directive', pins the writeOutputFile override), valid rand encoding (0xA28E), and the OB-009 contract. OB-009 (fixed 4fba6ee 'remove redundant fatalExit after error() in assembleRAND') turned out to be DEAD-CODE removal: the core error() already terminates (throws under jest / exits in prod), so the removed fatalExit was unreachable and observable behavior was unchanged. Pinned the real contract instead: a malformed rand yields exactly ONE 'Missing register' error (unit) and reports it exactly once with a single non-zero exit (subprocess/production). Full suite green (663 pass) but ran anomalously slow this round (145s vs ~12s typical, likely parallel-agent load), which inflated this row's wall-clock by ~2.4m. Single-commit close per #186; closed_commit empty. Worktree banana.",BANANA,,lccjs
94,228,claim.js stale-main guard: refuse to stake from a local main behind origin/main,DEV,45,15,6.4,38.6,8.6,2026-05-30T08:22:30-10:00,2026-05-30T08:28:56-10:00,,"Fixed the #223/#228 stale-main bug. Added a pure assessBaseStaleness(base, behind) seam (exported, unit-tested) + a guard in claim.js main(): before staking, best-effort `git fetch origin main` then `git rev-list --count main..origin/main`; if base is local main and behind>0, die() with a `git pull --ff-only` hint unless --allow-stale-main. Only the default local-main base is checked (an origin/* base is already remote-fresh; a non-main base is skipped). Caveat (in the code comment + #195/#230): a guard in the new script can't run for an agent already on a pre-guard stale main, so the 'sync main before claiming' process note is the complement. 5 new unit tests (decision logic + the --allow-stale-main flag) -> claim.unit.spec.js 15/15; full primary suite 664 passed (oracle auto-skipped). Functional proof in a throwaway /tmp repo with local main 1 behind origin/main: guard aborts exit 1 with the #228 message; --allow-stale-main proceeds; current-main = no false positive. @todo #228 marker in claim.js replaced by the implementation; TODOS #228 checked. DEV-with-test-loop came in UNDER C (6.4 vs C15) - the under-pad pattern extends to a small well-scoped DEV+test task with a clean seam. closed_commit empty per #186; worktree cherry-issue-228; agent CHERRY.",CHERRY,,lccjs
95,198,Test: rand-determinism coverage for src/plus/interpreterplus.js (LCG golden + bounds),TEST,40,18,4.07,35.93,13.93,2026-05-30T08:27:40-10:00,2026-05-30T08:31:44-10:00,,"TEST/QA child of #166 — first coverage for src/plus/interpreterplus.js (413 LOC, was 0%; exported, no source change). tests/new/interpreterplus.unit.spec.js (6 tests) drive the rand/srand LCG directly via the pure executeSrand/executeRand methods: srand seeds from the source register; srand 0 then 20x rand[1,20] matches a fixed GOLDEN sequence [12,17,4,1,8,9,4,1,8,5,20,1,8,17,12,13,16,5,12,5] (pins a=48271,c=10139,m=2^16 + the 3 xorshift steps); reproducible across fresh interpreters; bounds hold for min<=max and the high-then-low (else) branch; degenerate min==max returns that value. OB-011 (:36 dead instructionsCap=Infinity) is already resolved — the assignment is gone, only an explanatory comment remains. OB-012 (:168 magic ASYNC_BATCH_SIZE=500) lives in the async main() batch loop, not reachable by unit test (see finding); the file is now non-zero coverage so #166's 'assessable' goal is met. FINDING (candidate new ticket): node src/plus/interpreterplus.js <file.ep> CRASHES off-TTY — 'process.stdin.setRawMode is not a function' at interpreterplus.js:125 when stdin is piped/redirected/CI. This blocked the subprocess determinism smoke and is a real robustness bug; pivoted to the pure-method LCG seam (higher signal anyway). Full suite green (669 pass). Single-commit close per #186; closed_commit empty. Worktree banana.",BANANA,,lccjs
96,222,ARC: rewrite #222 to derived-cluster availability design (supersede stored-label WIP-lock),ARC,30,8,1.75,28.25,6.25,2026-05-30T08:31:09-10:00,2026-05-30T08:32:54-10:00,,"ARC design rewrite of #222 (stays OPEN as the design ticket; NOT closed). Replaced the original stored-label WIP-lock (apply wip-locked on claim, release on close, reconciler for orphans) with a DERIVED-cluster model: structure logged locally (cluster:NAME labels for membership + a tiny docs/puzzle-clusters.csv for directed blocked_by edges, merge=union), availability DERIVED not stored (unavailable = blocked-by an OPEN issue OR shares a cluster with an IN-PROGRESS clustermate). Deriving the soft lock from a live worktree means it cannot outlive the work -> eliminates the orphaned-lock failure mode AND the reconciler the old design needed. Cost rationale: ONE gh issue list batch (already made by puzzle-status) covers labels+state; GitHub native relationships (sub-issues/blocked-by) are the expensive per-issue GraphQL path and are explicitly avoided. Rewrote title+body, posted a supersession comment, enumerated 5 open design questions. Prototype split into a separate DEV ticket (next). H30/C8. Worktree dragonfruit/issue-222; no Closes.",DRAGONFRUIT,,lccjs
97,233,Prototype: derived-cluster triage rendering (cluster-triage-proto.js + seed manifest),DEV,45,15,2.41,42.59,12.59,2026-05-30T08:34:00-10:00,2026-05-30T08:36:25-10:00,,"DEV prototype for the ARC #222 derived-cluster design. New standalone scripts/cluster-triage-proto.js (no deps): reads docs/puzzle-clusters.csv (cluster,issue,blocked_by) + git worktree list --porcelain in-progress set + ONE batch gh issue list --state all, derives unavailable = blocked-by an OPEN issue OR shares a cluster with an in-progress member, prints the grouped at-a-glance view. Seeded docs/puzzle-clusters.csv with the real identity cluster (179/193/194-blocked_by-223/212/223/227/231) + a cluster-tooling cluster (222,233). Added docs/puzzle-clusters.csv merge=union to .gitattributes. Demonstrated live: cluster-tooling soft-locked by in-progress #233 -> #222 unavailable; identity idle -> #194 available (blocked-by #223 closed) + #227 available, rest closed; #199 unclustered in-progress. NOT wired into puzzle-status.js or the puzzle-triage skill (throwaway substrate; production integration tracked by #222 follow-ups). Single-commit close per #186. Worktree dragonfruit/issue-233.",DRAGONFRUIT,,lccjs
